trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
17520,3:51:00,3:51:00,10858,1,0,0,0
17614,3:51:00,3:51:00,10858,1,0,0,0
17520,3:53:00,3:53:00,10903,2,0,0,0.6892
17614,3:53:00,3:53:00,10903,2,0,0,0.6892
17520,3:57:00,3:57:00,10902,3,0,0,2.3773
17614,3:57:00,3:57:00,10902,3,0,0,2.3773
17520,4:00:00,4:01:00,10901,4,0,0,3.9902
17614,4:00:00,4:01:00,10901,4,0,0,3.9902
17520,4:03:00,4:03:00,10900,5,0,0,4.7735
17614,4:03:00,4:03:00,10900,5,0,0,4.7735
17520,4:05:00,4:05:00,10899,6,0,0,4.9847
17614,4:05:00,4:05:00,10899,6,0,0,4.9847
17520,4:07:00,4:07:00,10898,7,0,0,5.1992
17614,4:07:00,4:07:00,10898,7,0,0,5.1992
17327,4:08:00,4:08:00,10884,1,0,0,0
17421,4:08:00,4:08:00,10884,1,0,0,0
17327,4:09:00,4:09:00,10885,2,0,0,0.6095
17421,4:09:00,4:09:00,10885,2,0,0,0.6095
17520,4:09:00,4:09:00,10897,8,0,0,5.7155
17614,4:09:00,4:09:00,10897,8,0,0,5.7155
17098,4:11:00,4:11:00,10858,1,0,0,0
17198,4:11:00,4:11:00,10858,1,0,0,0
17520,4:11:00,4:11:00,10857,9,0,0,6.1042
17524,4:11:00,4:11:00,10858,1,0,0,0
17614,4:11:00,4:11:00,10857,9,0,0,6.1042
17618,4:11:00,4:11:00,10858,1,0,0,0
17098,4:13:00,4:13:00,10903,2,0,0,0.6892
17198,4:13:00,4:13:00,10903,2,0,0,0.6894
17327,4:13:00,4:13:00,10894,3,0,0,1.6265
17421,4:13:00,4:13:00,10894,3,0,0,1.6265
17520,4:13:00,4:13:00,10856,10,0,0,6.7133
17524,4:13:00,4:13:00,10903,2,0,0,0.6894
17614,4:13:00,4:13:00,10856,10,0,0,6.7133
